"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",924.887,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",2751.134,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",2621.517,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",2773.08,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",2786.449,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",2823.49,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",2702.072,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",2670.084,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",2653.932,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",2788.694,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",2695.577,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",1822.178,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",1784.939,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",1872.351,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",1800.574,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",1830.848,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",1766.363,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",1706.03,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",1731.768,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",1780.078,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",1847.578,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",4573.312,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",4406.456,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",4645.431,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",4587.023,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",4654.337,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",4468.435,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",4376.114,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",4385.7,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",4568.771,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",4543.155,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",6760.85,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q1","T1-2019",6671.977,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q2","T2-2019",6772.928,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q4","T4-2019",6776.835,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q3","T3-2019",6821.659,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",6728.218,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q2","T2-2020",6709.355,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q1","T1-2020",6718.097,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q3","T3-2020",6781.611,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q4","T4-2020",6703.809,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",4103.909,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q1","T1-2019",4080.706,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q2","T2-2019",4141.335,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q4","T4-2019",4099.554,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019-Q3","T3-2019",4094.042,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",4126.787,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q2","T2-2020",4102.24,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q1","T1-2020",4053.352,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q3","T3-2020",4126.356,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020-Q4","T4-2020",4225.202,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",495.424,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q1","T1-2019",498.585,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q2","T2-2019",505.29,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q4","T4-2019",499.424,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q3","T3-2019",478.396,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",493.582,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q2","T2-2020",485.355,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q1","T1-2020",510.452,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q3","T3-2020",484.404,,
"IT","Italia","1","maschi","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q4","T4-2020",494.116,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",2108.479,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q1","T1-2019",2088.169,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q2","T2-2019",2144.077,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q4","T4-2019",2121.964,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q3","T3-2019",2079.706,,
